"n","n_analysed","H1","H2","H3","H4","H5","H6","H7","H8"
10,7,0.98886883259063,0.18,0.3275,0.98886883259063,0.3425,0,0.98,0.6525
15,10,0.998791463723613,0.27,0.5675,0.998791463723613,0.4625,0,0.9975,0.8325
20,14,0.999932356889519,0.4225,0.745,0.999932356889519,0.6275,0,1,0.9425
25,18,0.999996151687788,0.5075,0.8375,0.999996151687788,0.715,0.155774954263844,1,0.985
30,21,0.999999551883064,0.56,0.92,0.999999551883064,0.745,0.266315570237338,1,0.99
40,28,0.999999997065617,0.7075,0.9575,0.999999997065617,0.88,0.461219580938202,1,1
50,36,0.999999999990836,0.775,0.9875,0.999999999990836,0.935,0.611239014709998,1,1
60,43,0.999999999999942,0.855,0.995,0.999999999999942,0.96,0.703018778604907,1,1
75,54,1,0.93,0.9975,1,0.9875,0.802225504226066,1,1
90,65,1,0.96,1,1,1,0.867357963311784,1,1
100,72,1,0.9725,1,1,1,0.897177790374689,1,1
110,79,1,0.9925,1,1,0.9975,0.920435357816325,1,1
130,93,1,0.98,1,1,1,0.952710013683341,1,1
